Store ID,Paul Secret pcs sold,Calvin Smart pcs sold,year,Paul Secret marketing spend,Calvin Smart marketing spend
92,1134,3069,0,0,0
93,944,2993,0,0,0
94,1053,3106,0,0,0
95,1011,3057,0,0,0
96,1099,3221,0,0,0
97,1203,3351,0,0,0
98,910,3170,0,0,0
99,1070,3109,0,0,0
100,1132,3136,0,0,0
101,1042,2900,0,0,0
102,1122,2841,0,0,0
103,779,2778,0,0,0
104,830,2694,0,0,0
105,1089,2730,0,0,0
106,873,2968,0,0,0
107,1020,3235,0,0,0
108,996,2733,0,0,0
109,1003,3134,0,0,0
110,1095,3276,0,0,0
111,1137,3309,0,0,0
112,1102,3307,0,0,0
113,1122,2699,0,0,0
114,951,2896,0,0,0
115,942,2866,0,0,0
116,1031,3043,0,0,0
117,1183,3088,0,0,0
118,894,3006,0,0,0
119,876,2781,0,0,0
120,965,2648,0,0,0
121,945,2909,0,0,0
122,888,3033,0,0,0
123,1002,2813,0,0,0
124,1002,3134,0,0,0
125,1004,3391,0,0,0
126,961,2937,0,0,0
127,987,2399,0,0,0
128,939,3098,0,0,0
129,1170,3393,0,0,0
130,977,3100,0,0,0
131,884,3058,0,0,0
132,1018,3167,0,0,0
133,1104,2998,0,0,0
134,1038,3050,0,0,0
135,958,3073,0,0,0
136,1174,3129,0,0,0
137,1116,3129,0,0,0
138,878,2847,0,0,0
139,1012,2684,0,0,0
140,1097,2916,0,0,0
141,918,2855,0,0,0
142,1079,2997,0,0,0
143,1021,3007,0,0,0
144,1015,2999,0,0,0
145,939,2776,0,0,0
146,984,2964,0,0,0
147,975,3114,0,0,0
148,971,2990,0,0,0
149,1088,3064,0,0,0
150,989,2796,0,0,0
151,1007,3446,0,0,0
152,880,2856,0,0,0
153,1113,2905,0,0,0
154,945,3019,0,0,0
155,989,3138,0,0,0
156,1092,3216,0,0,0
157,1031,3292,0,0,0
158,1248,3582,0,0,0
159,1035,3131,0,0,0
160,887,2877,0,0,0
161,928,2992,0,0,0
162,951,3076,0,0,0
163,1114,3100,0,0,0
164,1053,2831,0,0,0
165,1078,2925,0,0,0
166,1116,3060,0,0,0
167,932,2805,0,0,0
168,1038,3303,0,0,0
169,722,2643,0,0,0
170,680,2554,0,0,0
171,1077,2887,0,0,0
172,999,2904,0,0,0
173,994,2978,0,0,0
174,976,2971,0,0,0
175,934,3120,0,0,0
176,1134,3178,0,0,0
177,1053,2942,0,0,0
178,915,2874,0,0,0
179,994,3036,0,0,0
180,919,2927,0,0,0
181,1042,2867,0,0,0
182,911,2606,0,0,0
183,1044,2935,0,0,0
184,809,3170,0,0,0
185,1061,3108,0,0,0
186,964,3016,0,0,0
187,1018,3179,0,0,0
188,1155,3351,0,0,0
189,1066,3443,0,0,0
190,952,2634,0,0,0
191,1054,3168,0,0,0
192,872,2705,0,0,0
193,1022,3127,0,0,0
194,979,2981,0,0,0
195,901,2827,0,0,0
196,1056,2674,0,0,0
197,1010,2894,0,0,0
198,1002,2778,0,0,0
199,961,2606,0,0,0
200,1167,2942,0,0,0
201,928,2739,0,0,0
202,1121,3043,0,0,0
203,981,2914,0,0,0
204,805,2595,0,0,0
205,1115,3063,0,0,0
206,1147,2894,0,0,0
207,1101,3351,0,0,0
208,713,2564,0,0,0
209,1042,2819,0,0,0
210,851,3112,0,0,0
211,1115,2916,0,0,0
212,918,2944,0,0,0
213,1128,3407,0,0,0
214,999,2896,0,0,0
215,967,3014,0,0,0
216,1162,3213,0,0,0
217,1042,3169,0,0,0
218,1065,3229,0,0,0
219,1111,3068,0,0,0
220,1192,3117,0,0,0
221,893,3130,0,0,0
222,1038,2737,0,0,0
223,1011,2925,0,0,0
224,1029,2807,0,0,0
225,1093,2888,0,0,0
226,1057,2867,0,0,0
227,983,3151,0,0,0
228,994,3240,0,0,0
229,1008,2819,0,0,0
230,915,2890,0,0,0
231,899,2956,0,0,0
232,1111,3193,0,0,0
233,987,2989,0,0,0
234,1168,3047,0,0,0
235,1012,3185,0,0,0
236,1037,3157,0,0,0
237,1137,2915,0,0,0
238,937,2928,0,0,0
239,771,2646,0,0,0
240,972,3106,0,0,0
241,942,3129,0,0,0
242,1008,2831,0,0,0
243,1135,3276,0,0,0
244,1208,3197,0,0,0
245,989,3229,0,0,0
246,1044,2964,0,0,0
247,1011,2907,0,0,0
248,839,2707,0,0,0
249,853,3159,0,0,0
250,932,2781,0,0,0
251,901,2657,0,0,0
252,929,2848,0,0,0
253,1000,2944,0,0,0
254,973,2886,0,0,0
255,1008,2867,0,0,0
256,1118,3332,0,0,0
257,917,3062,0,0,0
258,981,3156,0,0,0
259,996,2826,0,0,0
260,1099,3009,0,0,0
261,1044,3300,0,0,0
262,1148,2983,0,0,0
263,1115,3175,0,0,0
264,1030,3274,0,0,0
265,1151,3092,0,0,0
266,1033,3341,0,0,0
267,1015,2941,0,0,0
268,951,2952,0,0,0
269,1013,3144,0,0,0
270,921,2636,0,0,0
271,916,2933,0,0,0
272,987,2665,0,0,0
273,730,2599,0,0,0
274,1082,2915,0,0,0
275,986,3288,0,0,0
276,869,3001,0,0,0
277,943,3236,0,0,0
278,1074,2947,0,0,0
279,1104,2920,0,0,0
280,977,2818,0,0,0
281,1040,3173,0,0,0
282,1127,3262,0,0,0
283,1218,2579,0,0,0
284,1048,3126,0,0,0
285,922,2720,0,0,0
286,1024,2893,0,0,0
287,1170,3029,0,0,0
288,1050,3016,0,0,0
289,1011,3078,0,0,0
290,1077,2937,0,0,0
291,997,3170,0,0,0
292,928,2781,0,0,0
293,1068,3231,0,0,0
294,1043,3365,0,0,0
295,807,3089,0,0,0
296,939,2889,0,0,0
297,1167,3060,0,0,0
298,1118,2972,0,0,0
299,1119,3107,0,0,0
300,1083,2874,0,0,0
301,975,2775,0,0,0
302,901,2824,0,0,0
303,871,2722,0,0,0
304,1016,3071,0,0,0
305,1037,2697,0,0,0
306,1101,3043,0,0,0
307,994,3172,0,0,0
308,810,2636,0,0,0
309,989,3269,0,0,0
310,1000,3177,0,0,0
311,878,3122,0,0,0
312,1067,3233,0,0,0
313,1068,3171,0,0,0
314,1040,3161,0,0,0
315,924,3184,0,0,0
316,993,2768,0,0,0
317,979,2998,0,0,0
318,1029,2952,0,0,0
319,1005,2870,0,0,0
320,912,2828,0,0,0
321,1145,3170,0,0,0
322,1001,2762,0,0,0
323,996,2776,0,0,0
324,797,2650,0,0,0
325,956,2903,0,0,0
326,1158,3261,0,0,0
327,1191,3284,0,0,0
328,962,2950,0,0,0
329,1067,3211,0,0,0
330,884,3001,0,0,0
331,771,3046,0,0,0
332,894,2933,0,0,0
333,1003,3149,0,0,0
334,1088,2902,0,0,0
335,962,2784,0,0,0
336,893,2622,0,0,0
337,1093,3061,0,0,0
338,972,2814,0,0,0
339,1018,3064,0,0,0
340,1046,3019,0,0,0
341,944,3103,0,0,0
342,1128,2702,0,0,0
343,1004,3415,0,0,0
344,1077,3074,0,0,0
345,1056,3146,0,0,0
346,930,2820,0,0,0
347,981,2899,0,0,0
348,973,2950,0,0,0
349,1160,3172,0,0,0
350,892,2777,0,0,0
351,1050,2813,0,0,0
352,1112,2953,0,0,0
353,973,2905,0,0,0
354,1023,2701,0,0,0
355,860,2964,0,0,0
356,780,2938,0,0,0
357,1007,2991,0,0,0
358,1137,3021,0,0,0
359,1046,2921,0,0,0
360,1003,3067,0,0,0
361,951,2565,0,0,0
362,971,2900,0,0,0
363,946,2741,0,0,0
364,1009,3021,0,0,0
365,1076,2948,0,0,0
366,1116,3174,0,0,0
367,1152,3674,0,0,0
368,896,2949,0,0,0
369,971,3103,0,0,0
370,741,2494,0,0,0
371,1085,2990,0,0,0
372,857,2706,0,0,0
373,933,2990,0,0,0
374,1032,3105,0,0,0
375,961,3081,0,0,0
376,1092,3305,0,0,0
377,1043,3267,0,0,0
378,981,3134,0,0,0
379,887,2828,0,0,0
380,980,2996,0,0,0
381,1001,3333,0,0,0
382,1070,2742,0,0,0
383,886,3166,0,0,0
384,1049,3093,0,0,0
385,842,2583,0,0,0
386,1057,2979,0,0,0
387,1065,3187,0,0,0
388,1050,3209,0,0,0
389,874,2852,0,0,0
390,876,3155,0,0,0
391,952,3161,0,0,0
392,1019,2916,0,0,0
393,918,3289,0,0,0
394,955,2839,0,0,0
395,1033,2861,0,0,0
396,904,2577,0,0,0
397,1030,3083,0,0,0
398,968,3249,0,0,0
399,1010,3237,0,0,0
400,1018,3152,0,0,0
401,1111,3143,0,0,0
402,900,2713,0,0,0
403,975,2987,0,0,0
404,1103,2805,0,0,0
405,1137,3004,0,0,0
406,881,2913,0,0,0
407,963,3040,0,0,0
408,1163,3469,0,0,0
409,1051,3234,0,0,0
410,978,2936,0,0,0
411,1089,3050,0,0,0
412,938,2992,0,0,0
413,930,2790,0,0,0
414,1071,3103,0,0,0
415,951,3011,0,0,0
416,1055,3015,0,0,0
417,1007,2990,0,0,0
418,1064,2948,0,0,0
419,988,2909,0,0,0
420,1082,3061,0,0,0
421,1144,3281,0,0,0
422,919,3155,0,0,0
423,1220,3065,0,0,0
424,869,2860,0,0,0
425,1069,2933,0,0,0
426,993,3116,0,0,0
427,1081,2968,0,0,0
428,1235,3075,0,0,0
429,1089,3191,0,0,0
430,1009,3130,0,0,0
431,955,2802,0,0,0
432,918,3131,0,0,0
433,939,2905,0,0,0
434,995,3059,0,0,0
435,1035,3086,0,0,0
436,927,3252,0,0,0
437,1213,3295,0,0,0
438,1055,2994,0,0,0
439,978,3138,0,0,0
440,1072,3014,0,0,0
441,1103,3036,0,0,0
442,1012,3017,0,0,0
443,925,2856,0,0,0
444,1109,2867,0,0,0
445,935,3072,0,0,0
446,1009,3084,0,0,0
447,855,2382,0,0,0
448,953,2678,0,0,0
449,826,2844,0,0,0
450,910,3134,0,0,0
451,989,2906,0,0,0
452,1096,3104,0,0,0
453,931,3013,0,0,0
454,1067,3397,0,0,0
455,1072,3369,0,0,0
456,1155,3205,0,0,0
457,966,2784,0,0,0
458,1101,3133,0,0,0
459,1012,2953,0,0,0
460,883,2950,0,0,0
461,1014,3209,0,0,0
462,1131,3259,0,0,0
463,933,2827,0,0,0
464,913,2964,0,0,0
465,992,3111,0,0,0
466,1167,3303,0,0,0
467,946,2826,0,0,0
468,861,2993,0,0,0
469,1132,3162,0,0,0
470,1019,3195,0,0,0
471,1047,3217,0,0,0
472,1201,3142,0,0,0
473,895,3062,0,0,0
474,1032,2922,0,0,0
475,983,3270,0,0,0
476,1007,2957,0,0,0
477,1099,3064,0,0,0
478,909,2822,0,0,0
479,1092,3191,0,0,0
480,1117,3062,0,0,0
481,1048,3008,0,0,0
482,874,2970,0,0,0
483,928,2741,0,0,0
484,936,2976,0,0,0
485,948,3085,0,0,0
486,1005,3023,0,0,0
487,766,2889,0,0,0
488,1113,3282,0,0,0
489,806,2481,0,0,0
490,1005,3084,0,0,0
491,957,3139,0,0,0
492,1006,3036,0,0,0
493,971,2969,0,0,0
494,1087,3017,0,0,0
495,936,2905,0,0,0
496,1000,3035,0,0,0
497,1081,3059,0,0,0
498,1068,3259,0,0,0
499,858,2550,0,0,0
500,1006,3075,0,0,0
501,796,3028,0,0,0
502,1005,3109,0,0,0
503,840,2721,0,0,0
504,997,2814,0,0,0
505,1155,3075,0,0,0
506,931,3161,0,0,0
507,1006,2693,0,0,0
508,1075,3317,0,0,0
509,913,3147,0,0,0
510,789,2642,0,0,0
511,937,2942,0,0,0
512,947,2966,0,0,0
513,1155,3100,0,0,0
514,1164,2958,0,0,0
515,920,2887,0,0,0
516,995,3086,0,0,0
517,1020,3249,0,0,0
518,1095,3258,0,0,0
519,1117,3521,0,0,0
520,999,2956,0,0,0
521,917,2552,0,0,0
522,1038,3093,0,0,0
523,784,2731,0,0,0
524,1129,3088,0,0,0
525,1024,3338,0,0,0
526,916,2802,0,0,0
527,834,2622,0,0,0
528,1182,3130,0,0,0
529,1148,3016,0,0,0
530,1040,3077,0,0,0
531,1005,2961,0,0,0
532,973,2953,0,0,0
533,981,2862,0,0,0
534,883,3039,0,0,0
535,917,2973,0,0,0
536,916,2582,0,0,0
537,1283,3252,0,0,0
538,1024,3331,0,0,0
539,1160,3206,0,0,0
540,949,2585,0,0,0
541,1051,3121,0,0,0
542,1022,3056,0,0,0
543,1066,3334,0,0,0
544,989,2960,0,0,0
545,876,3097,0,0,0
546,1102,3270,0,0,0
547,1050,3108,0,0,0
548,960,2972,0,0,0
549,1018,3015,0,0,0
550,1097,3221,0,0,0
551,1151,2925,0,0,0
552,816,2778,0,0,0
553,1004,3076,0,0,0
554,868,2655,0,0,0
555,1048,2832,0,0,0
556,1047,2851,0,0,0
557,1011,3096,0,0,0
558,1036,2994,0,0,0
559,887,2534,0,0,0
560,1121,2881,0,0,0
561,1050,2835,0,0,0
562,914,2481,0,0,0
563,997,3061,0,0,0
564,972,2982,0,0,0
565,1015,3087,0,0,0
566,878,2650,0,0,0
567,1138,3443,0,0,0
568,982,3068,0,0,0
569,1025,3030,0,0,0
570,1053,2927,0,0,0
571,934,2820,0,0,0
572,1009,3107,0,0,0
573,971,2744,0,0,0
574,905,2816,0,0,0
575,941,2838,0,0,0
576,936,2926,0,0,0
577,1182,3093,0,0,0
578,1020,2916,0,0,0
579,987,2927,0,0,0
580,1072,3223,0,0,0
581,893,2856,0,0,0
582,962,2878,0,0,0
583,943,3203,0,0,0
584,864,2816,0,0,0
585,1001,2621,0,0,0
586,1150,2947,0,0,0
587,1018,2686,0,0,0
588,925,2871,0,0,0
589,865,2827,0,0,0
590,938,2732,0,0,0
591,902,2745,0,0,0
592,1053,2982,0,0,0
593,1032,3012,0,0,0
594,1030,3103,0,0,0
595,944,3096,0,0,0
596,1105,2800,0,0,0
597,943,3015,0,0,0
598,1070,3278,0,0,0
599,845,2907,0,0,0
600,960,3181,0,0,0
601,1019,2877,0,0,0
602,1004,3039,0,0,0
603,1079,2930,0,0,0
604,1090,3456,0,0,0
605,1188,3066,0,0,0
606,1010,3231,0,0,0
607,926,2929,0,0,0
608,895,2834,0,0,0
609,969,3066,0,0,0
610,1063,3171,0,0,0
611,1047,2900,0,0,0
612,1040,3057,0,0,0
613,1108,3193,0,0,0
614,1068,2956,0,0,0
615,1252,2991,0,0,0
616,1158,3190,0,0,0
617,1084,3254,0,0,0
618,1081,3260,0,0,0
619,905,2849,0,0,0
620,907,3143,0,0,0
621,954,3059,0,0,0
622,984,3161,0,0,0
623,1174,3353,0,0,0
624,1064,2706,0,0,0
625,928,2972,0,0,0
626,984,2783,0,0,0
627,1044,3313,0,0,0
628,849,2830,0,0,0
629,1223,3257,0,0,0
630,1022,2918,0,0,0
631,995,3001,0,0,0
632,1093,3181,0,0,0
633,996,3072,0,0,0
634,1026,3169,0,0,0
635,1021,3005,0,0,0
636,904,2769,0,0,0
637,989,2935,0,0,0
638,838,2808,0,0,0
639,1190,3294,0,0,0
640,1199,3132,0,0,0
641,1018,3086,0,0,0
642,879,3141,0,0,0
643,995,2764,0,0,0
644,900,3037,0,0,0
645,1119,3107,0,0,0
646,1038,3133,0,0,0
647,958,2831,0,0,0
648,997,3093,0,0,0
649,1061,3112,0,0,0
650,858,3115,0,0,0
651,1203,3173,0,0,0
652,858,2956,0,0,0
653,1001,3138,0,0,0
654,1039,2779,0,0,0
655,974,2708,0,0,0
656,1042,2717,0,0,0
657,1010,3109,0,0,0
658,1055,3016,0,0,0
659,1116,3145,0,0,0
660,995,3120,0,0,0
661,935,3164,0,0,0
662,1130,3178,0,0,0
663,1037,3291,0,0,0
664,1080,3016,0,0,0
665,985,3073,0,0,0
666,1024,3059,0,0,0
667,1010,3213,0,0,0
668,1044,3060,0,0,0
669,1040,3152,0,0,0
670,1002,3027,0,0,0
671,1003,3007,0,0,0
672,1206,2867,0,0,0
673,855,2861,0,0,0
674,895,2859,0,0,0
675,1115,2968,0,0,0
676,1120,3329,0,0,0
677,881,2495,0,0,0
678,881,2752,0,0,0
679,965,2761,0,0,0
680,1024,2857,0,0,0
681,1010,3101,0,0,0
682,1078,2994,0,0,0
683,1051,2904,0,0,0
684,1020,2990,0,0,0
685,1154,3126,0,0,0
686,1036,3102,0,0,0
687,920,3180,0,0,0
688,993,3357,0,0,0
689,1009,3193,0,0,0
690,1021,3104,0,0,0
691,954,3080,0,0,0
692,903,2561,0,0,0
693,912,2896,0,0,0
694,1115,2808,0,0,0
695,991,2877,0,0,0
696,1052,2733,0,0,0
697,759,2952,0,0,0
698,1075,3565,0,0,0
699,1137,3242,0,0,0
700,1021,3135,0,0,0
701,1109,3008,0,0,0
702,1002,2934,0,0,0
703,1062,3182,0,0,0
704,1090,2881,0,0,0
705,1011,3071,0,0,0
706,873,2870,0,0,0
707,1130,3154,0,0,0
708,820,2584,0,0,0
709,1252,3133,0,0,0
710,1205,3404,0,0,0
711,1040,3285,0,0,0
712,948,3184,0,0,0
713,992,2881,0,0,0
714,1190,3412,0,0,0
715,1003,3058,0,0,0
716,969,2723,0,0,0
717,998,2925,0,0,0
718,956,2821,0,0,0
719,948,2683,0,0,0
720,1152,3240,0,0,0
721,1153,3412,0,0,0
722,1072,3088,0,0,0
723,1119,2773,0,0,0
724,1040,3202,0,0,0
725,992,2807,0,0,0
726,1063,3167,0,0,0
727,996,3041,0,0,0
728,1107,2967,0,0,0
729,964,3314,0,0,0
730,912,3057,0,0,0
731,967,2721,0,0,0
732,697,2909,0,0,0
733,1141,3097,0,0,0
734,1091,3414,0,0,0
735,877,3350,0,0,0
736,979,2780,0,0,0
737,1134,3062,0,0,0
738,1051,3192,0,0,0
739,1147,3287,0,0,0
740,1039,3360,0,0,0
741,984,3070,0,0,0
742,1031,3165,0,0,0
743,879,2982,0,0,0
744,1108,3034,0,0,0
745,820,3273,0,0,0
746,1063,2630,0,0,0
747,977,2966,0,0,0
748,1086,3227,0,0,0
749,945,2879,0,0,0
750,1004,3410,0,0,0
751,1053,3266,0,0,0
752,1133,2901,0,0,0
753,1028,2852,0,0,0
754,864,2963,0,0,0
755,1083,2939,0,0,0
756,1033,2950,0,0,0
757,1015,3036,0,0,0
758,985,2914,0,0,0
759,842,2607,0,0,0
760,913,2635,0,0,0
761,958,3090,0,0,0
762,1080,3150,0,0,0
763,989,3067,0,0,0
764,1113,3068,0,0,0
765,895,2889,0,0,0
766,886,3292,0,0,0
767,698,2524,0,0,0
768,1023,3032,0,0,0
769,1036,3097,0,0,0
770,1218,3267,0,0,0
771,977,3258,0,0,0
772,953,3093,0,0,0
773,888,2925,0,0,0
774,1044,2989,0,0,0
775,909,3044,0,0,0
776,847,2715,0,0,0
777,1016,2827,0,0,0
778,966,2941,0,0,0
779,1078,2942,0,0,0
780,1132,3314,0,0,0
781,1097,2917,0,0,0
782,993,3097,0,0,0
783,1077,3196,0,0,0
784,964,2700,0,0,0
785,870,3104,0,0,0
786,882,2570,0,0,0
787,1090,3121,0,0,0
788,890,2738,0,0,0
789,917,3169,0,0,0
790,1022,3012,0,0,0
791,859,3243,0,0,0
792,1170,2980,0,0,0
793,937,2884,0,0,0
794,996,3208,0,0,0
795,1113,3217,0,0,0
796,913,2685,0,0,0
797,988,2687,0,0,0
798,754,2710,0,0,0
799,867,2794,0,0,0
800,1078,3261,0,0,0
801,1103,3032,0,0,0
802,912,2875,0,0,0
803,1012,2813,0,0,0
804,1119,3318,0,0,0
805,921,2889,0,0,0
806,992,2761,0,0,0
807,916,2795,0,0,0
808,778,2814,0,0,0
809,776,2517,0,0,0
810,988,3051,0,0,0
811,901,2982,0,0,0
812,859,2841,0,0,0
813,1176,2992,0,0,0
814,882,3006,0,0,0
815,997,3277,0,0,0
816,998,3121,0,0,0
817,1279,2933,0,0,0
818,908,2866,0,0,0
819,1021,3075,0,0,0
820,921,2936,0,0,0
821,1122,3091,0,0,0
822,852,2838,0,0,0
823,996,3398,0,0,0
824,1078,3131,0,0,0
825,994,2763,0,0,0
826,847,2807,0,0,0
827,983,2704,0,0,0
828,1060,2885,0,0,0
829,1000,2824,0,0,0
830,1078,3281,0,0,0
831,905,2785,0,0,0
832,1135,3232,0,0,0
833,837,2966,0,0,0
834,1173,3103,0,0,0
835,1134,3317,0,0,0
836,926,2981,0,0,0
837,834,2926,0,0,0
838,1126,3424,0,0,0
839,1137,3475,0,0,0
840,1051,2634,0,0,0
841,913,2840,0,0,0
842,1216,3292,0,0,0
843,878,2598,0,0,0
844,978,2771,0,0,0
845,1068,3372,0,0,0
846,1016,3319,0,0,0
847,1065,3451,0,0,0
848,996,2901,0,0,0
849,1040,2684,0,0,0
850,985,2773,0,0,0
851,931,2741,0,0,0
852,968,3007,0,0,0
853,940,3124,0,0,0
854,1108,3297,0,0,0
855,992,2397,0,0,0
856,1151,3052,0,0,0
857,809,3020,0,0,0
858,877,2946,0,0,0
859,959,3004,0,0,0
860,872,3084,0,0,0
861,967,3022,0,0,0
862,903,3167,0,0,0
863,1107,2875,0,0,0
864,988,2748,0,0,0
865,1079,3264,0,0,0
866,1143,3171,0,0,0
867,1065,3321,0,0,0
868,1058,2958,0,0,0
869,959,2851,0,0,0
870,772,2918,0,0,0
871,1156,3025,0,0,0
872,984,2924,0,0,0
873,914,2928,0,0,0
874,1094,3001,0,0,0
875,1199,3420,0,0,0
876,828,2844,0,0,0
877,1104,3252,0,0,0
878,879,2904,0,0,0
879,1050,2810,0,0,0
880,887,3029,0,0,0
881,1077,3166,0,0,0
882,1031,2927,0,0,0
883,1027,2812,0,0,0
884,842,2739,0,0,0
885,884,2737,0,0,0
886,925,2858,0,0,0
887,1045,2988,0,0,0
888,1029,3023,0,0,0
889,1075,3325,0,0,0
890,988,2687,0,0,0
891,1125,3360,0,0,0
892,998,3183,0,0,0
893,1062,3021,0,0,0
894,980,3088,0,0,0
895,1112,3320,0,0,0
896,1088,3175,0,0,0
897,1127,3151,0,0,0
898,1054,2937,0,0,0
899,1290,3381,0,0,0
900,1181,3111,0,0,0
901,1039,2705,0,0,0
902,862,3058,0,0,0
903,1088,3009,0,0,0
904,1113,2815,0,0,0
905,979,3299,0,0,0
906,1070,3198,0,0,0
907,942,2898,0,0,0
908,876,2941,0,0,0
909,1028,2894,0,0,0
910,1202,3248,0,0,0
911,956,2889,0,0,0
912,1031,2804,0,0,0
913,792,2706,0,0,0
914,982,2868,0,0,0
915,983,2935,0,0,0
916,1022,3004,0,0,0
917,911,2803,0,0,0
918,1057,3108,0,0,0
919,1006,3235,0,0,0
920,1172,3144,0,0,0
921,1013,2965,0,0,0
922,1056,3032,0,0,0
923,1141,3041,0,0,0
924,1100,3081,0,0,0
925,937,3091,0,0,0
926,1008,3092,0,0,0
927,890,2896,0,0,0
928,947,3001,0,0,0
929,1250,3366,0,0,0
930,1041,2930,0,0,0
931,1056,3234,0,0,0
932,1185,3345,0,0,0
933,850,3023,0,0,0
934,967,2801,0,0,0
935,972,2913,0,0,0
936,972,2838,0,0,0
937,848,2947,0,0,0
938,934,2946,0,0,0
939,1020,2658,0,0,0
940,969,2993,0,0,0
941,1039,3151,0,0,0
942,928,3188,0,0,0
943,981,2781,0,0,0
944,1092,3295,0,0,0
945,947,3063,0,0,0
946,942,3011,0,0,0
947,1048,2951,0,0,0
948,897,2598,0,0,0
949,900,2856,0,0,0
950,1092,3219,0,0,0
951,915,3228,0,0,0
952,939,2930,0,0,0
953,1000,2872,0,0,0
954,965,3205,0,0,0
955,842,2839,0,0,0
956,1028,3240,0,0,0
957,967,2988,0,0,0
958,972,2800,0,0,0
959,1098,3053,0,0,0
960,963,2962,0,0,0
961,1084,2848,0,0,0
962,1057,3201,0,0,0
963,992,3143,0,0,0
964,1076,3422,0,0,0
965,948,2934,0,0,0
966,1114,3334,0,0,0
967,1056,3218,0,0,0
968,989,2740,0,0,0
969,857,2908,0,0,0
970,1025,2902,0,0,0
971,995,3384,0,0,0
972,942,2541,0,0,0
973,973,3073,0,0,0
974,1083,3065,0,0,0
975,1105,3383,0,0,0
976,1041,3265,0,0,0
977,1003,2889,0,0,0
978,829,2810,0,0,0
979,901,3239,0,0,0
980,981,3030,0,0,0
981,871,2958,0,0,0
982,825,2612,0,0,0
983,896,2779,0,0,0
984,946,3035,0,0,0
985,959,2780,0,0,0
986,878,2872,0,0,0
987,1005,2934,0,0,0
988,1256,3380,0,0,0
989,818,2781,0,0,0
990,1048,2999,0,0,0
991,1166,2921,0,0,0
992,1202,3194,0,0,0
993,903,2939,0,0,0
994,927,2790,0,0,0
995,874,2766,0,0,0
996,1050,2892,0,0,0
997,859,2940,0,0,0
998,988,2907,0,0,0
999,960,3134,0,0,0
1000,1150,3095,0,0,0
1001,1049,3091,0,0,0
1002,924,2926,0,0,0
1003,927,2582,0,0,0
1004,991,2926,0,0,0
1005,967,3119,0,0,0
1006,1070,3199,0,0,0
1007,1103,3293,0,0,0
1008,997,3070,0,0,0
1009,921,3344,0,0,0
1010,944,2902,0,0,0
1011,844,2715,0,0,0
1012,885,2564,0,0,0
1013,945,2712,0,0,0
1014,918,2968,0,0,0
1015,852,2708,0,0,0
1016,1009,3065,0,0,0
1017,977,3151,0,0,0
1018,1078,3325,0,0,0
1019,1054,2801,0,0,0
1020,1074,3272,0,0,0
1021,1044,2882,0,0,0
1022,1021,2800,0,0,0
1023,910,2727,0,0,0
1024,1097,2973,0,0,0
1025,909,2631,0,0,0
